concurso;data_do_sorteio;bola1;bola2;bola3;bola4;bola5;bola6;ganhadores_6_acertos;cidade_uf;rateio_6_acertos;ganhadores_5_acertos;rateio_5_acertos;ganhadores_4_acertos;rateio_4_acertos;acumulado_6_acertos;arrecadacao_total;estimativa_premio;acumulado_sorteio_especial_mega_da_virada;observacao
1;1996-03-11;4;5;30;33;41;52;0;NULL;0.00;17;39158.92;2016;330.21;1714650.23;0.00;0.00;0.00;NULL
2;1996-03-18;9;37;39;41;43;49;1;PR;2307162.23;65;14424.02;4488;208.91;0.00;0.00;0.00;0.00;NULL
3;1996-03-25;10;11;29;30;36;47;2;RN/SP;391192.51;62;10515.93;4261;153.01;0.00;0.00;0.00;0.00;NULL
4;1996-04-01;1;5;6;27;42;59;0;NULL;0.00;39;15322.24;3311;180.48;717080.75;0.00;0.00;0.00;NULL
5;1996-04-08;1;2;6;16;19;46;0;NULL;0.00;98;5318.10;5399;96.53;1342488.85;0.00;0.00;0.00;NULL
6;1996-04-15;7;13;19;22;40;47;0;NULL;0.00;109;7214.66;7147;110.03;2286166.33;0.00;0.00;0.00;NULL
7;1996-04-22;3;5;20;21;38;56;0;NULL;0.00;100;8746.05;5736;152.48;3335692.28;0.00;0.00;0.00;NULL
8;1996-04-29;4;17;37;38;47;53;0;NULL;0.00;60;16084.11;5262;183.40;4493748.19;0.00;0.00;0.00;NULL
9;1996-05-06;8;43;54;55;56;60;0;NULL;0.00;17;60043.79;2175;469.31;5718641.49;0.00;0.00;0.00;NULL
10;1996-05-13;4;18;21;25;38;57;0;NULL;0.00;251;6638.45;12590;132.35;13334769.81;0.00;0.00;0.00;NULL
11;1996-05-20;15;25;37;38;58;59;1;RJ;15591365.07;148;12706.05;9442;199.16;0.00;0.00;0.00;0.00;NULL
12;1996-05-27;4;16;19;20;27;43;0;NULL;0.00;108;6791.17;6454;113.64;880136.24;0.00;0.00;0.00;NULL
13;1996-06-03;18;32;47;50;54;56;0;NULL;0.00;43;20543.98;2934;301.09;1940205.35;0.00;0.00;0.00;NULL
14;1996-06-10;2;16;23;27;47;53;0;NULL;0.00;85;10458.19;5323;167.00;3006941.32;0.00;0.00;0.00;NULL
15;1996-06-17;12;33;35;51;52;60;0;NULL;0.00;57;17919.89;3931;259.84;4232661.35;0.00;0.00;0.00;NULL
16;1996-06-24;20;32;34;49;58;60;0;NULL;0.00;31;33307.13;3250;317.70;5471686.62;0.00;0.00;0.00;NULL
17;1996-07-01;6;10;13;19;20;51;1;SP;6789869.08;144;7628.37;9376;117.16;0.00;0.00;0.00;0.00;NULL
18;1996-07-08;23;27;36;37;42;56;0;NULL;0.00;52;13763.52;4484;159.61;858843.48;0.00;0.00;0.00;NULL
19;1996-07-15;5;10;12;24;25;60;0;NULL;0.00;159;5380.14;9250;92.48;10506266.73;0.00;0.00;0.00;NULL
20;1996-07-22;11;25;28;30;33;51;0;NULL;0.00;72;15486.97;5728;194.67;11844340.83;0.00;0.00;0.00;NULL
21;1996-07-29;6;33;36;46;49;53;0;NULL;0.00;63;17694.19;5030;221.62;13182021.44;0.00;0.00;0.00;NULL
22;1996-08-05;1;9;31;38;46;56;0;NULL;0.00;47;27212.90;4865;262.90;14716828.84;0.00;0.00;0.00;NULL
23;1996-08-12;17;37;39;51;52;59;0;NULL;0.00;74;20198.46;4897;305.23;16510452.00;0.00;0.00;0.00;NULL
24;1996-08-19;1;8;14;28;33;43;1;NULL;18661679.61;227;7897.31;13486;132.93;0.00;0.00;0.00;0.00;NULL
25;1996-08-25;24;43;50;54;55;56;0;NULL;0.00;28;26338.50;2741;269.06;884973.50;0.00;0.00;0.00;NULL
26;1996-09-01;10;22;50;53;57;58;0;NULL;0.00;16;52473.74;1823;460.55;1892469.30;0.00;0.00;0.00;NULL
27;1996-09-08;13;17;20;33;44;51;0;NULL;0.00;99;9306.24;6466;142.49;2998050.68;0.00;0.00;0.00;NULL
28;1996-09-15;3;6;22;24;54;60;0;NULL;0.00;50;19749.22;4895;201.73;4183003.48;0.00;0.00;0.00;NULL
29;1996-09-22;3;8;14;43;56;58;1;RS;5401793.60;44;23083.15;5248;193.53;0.00;0.00;0.00;0.00;NULL
30;1996-09-29;7;14;15;29;38;50;0;NULL;0.00;80;11347.74;5885;154.26;10127520.80;0.00;0.00;0.00;NULL
31;1996-10-06;17;19;28;45;48;56;0;NULL;0.00;103;8793.04;5680;159.45;11214340.46;0.00;0.00;0.00;NULL
32;1996-10-13;5;14;33;36;43;44;0;NULL;0.00;96;11430.91;6876;159.60;12531181.83;0.00;0.00;0.00;NULL
33;1996-10-20;5;17;33;39;42;49;1;MG;13997410.74;128;9545.76;8722;140.09;0.00;0.00;0.00;0.00;NULL
34;1996-10-27;13;15;17;40;53;57;0;NULL;0.00;51;13604.06;2627;264.11;832568.20;0.00;0.00;0.00;NULL
35;1996-11-03;4;16;21;23;54;57;0;NULL;0.00;39;20051.18;3576;218.68;1770963.49;0.00;0.00;0.00;NULL
36;1996-11-10;3;13;17;25;29;51;0;NULL;0.00;143;6238.12;8548;104.36;2841425.78;0.00;0.00;0.00;NULL
37;1996-11-17;6;7;22;38;52;60;0;NULL;0.00;47;16848.61;3695;214.32;3791687.26;0.00;0.00;0.00;NULL
38;1996-11-24;10;42;43;45;54;55;0;NULL;0.00;24;38863.10;1999;466.59;4910944.53;0.00;0.00;0.00;NULL
